,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,Reg16,CAN16
-52,C02 - SGC 1617,Idle run,44551,1:37:35.4,0,356,0,124,0,0, ,0,0,0,0,0,0,0,0,0,0,50,240,240,239,415,415,416,0,0,0,0,50,22.3,38,21.8,#####,#####,#####,10000000 1000,11000000 0000,MAN,365,3.8,68,56,0,0,#####,#####,#####,#####,#####,#####,#####,10111100,0,10100,10100100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-53,C02 - SGC 1617,Wrn AmberLamp,44551,1:37:34.6,0,148,0,121,0,0, ,0,0,0,0,0,0,0,0,0,0,50,240,240,240,415,415,416,0,0,0,0,50,21.3,38,20.7,#####,#####,#####,10000000 1000,11000000 0000,MAN,163,0.5,68,56,0,0,#####,#####,#####,#####,#####,#####,#####,10111100,0,10100,10100100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-54,C02 - SGC 1617,Gen start,44551,1:37:32.9,0,0,0,121,0,0, ,0,0,0,0,0,0,0,0,0,0,50,240,240,240,415,416,416,0,0,0,0,50,25.8,38,0,#####,#####,#####,10000000 1000,00000000 1000,MAN,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,0,0,100,10100100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-55,C02 - SGC 1617,SetpointChange,44551,1:37:30.7,0,T=INT CON(8315)=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-56,C07 - SGJ-1500,SetpointChange,44551,1:37:24.5,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57,C07 - SGJ-1500,SetpointChange,44551,1:37:24.4,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-58,C07 - SGJ-1500,SetpointChange,44551,1:37:05.1,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-59,C07 - SGJ-1500,SetpointChange,44551,1:37:04.9,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-60,C07 - SGJ-1500,SetpointChange,44551,1:37:04.7,0,T=MB2 CON(8315)=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61,C06 - SGB 1601,Time stamp,44551,1:37:00.1,0,1498,35,113,12,0.94,L,50,240,240,240,415,416,417,60,54,59,50,240,239,240,418,417,418,0,0,0,0.046,52.4,28.3,53.2,28.2,#####,#####,50,10010000 0100,01001100 0011,MAN,1500,12.1,83,45,3.8,0.1,,,,,,,,,,,10100100 00000000,,,,,,,,11111110 00000000,11111110 00000000
-62,C04 - SGC 1615,Time stamp,44551,1:37:00.1,0,1499,0,113,0,0, ,50,240,240,240,416,415,416,0,0,0,50,239,238,240,415,417,417,0,0,0,0,47.6,27.4,35.1,0,#####,#####,#####,10000001 0000,10010001 0111,MAN,1499,21.9,75,30,4.68,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10100100 00000000,,,,#####,#####,#####,0,,
-63,C01 - SGB 1603,Time stamp,44551,1:37:00.1,0,1500,33,110,11,0.95,L,50,240,240,239,414,415,416,61,52,58,50,239,240,240,417,417,417,0,0,0,0.074,53,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,16.2,87,41,4.16,0.06,12,#####,#####,#####,#####,#####,#####,1111,11000000,0,10100100 00000000,,,,,,,,,
-64,C03 - SGC 1618,Time stamp,44551,1:37:00.0,0,1499,42,110,7,0.98,L,50,240,239,239,414,415,415,84,69,68,50,239,240,239,416,417,418,0,0,0,0.004,48.2,27.4,40.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,23.6,76,28,4.92,0.12,#####,,,,,,,10111100,,11100,10100100 00000000,#####,#####,2896435,,,,,,
-65,C04 - SGC 1615,Running,44551,1:36:08.8,0,703,0,111,0,0, ,23.4,35,35,35,61,61,61,0,0,0,50,240,239,240,414,416,416,0,0,0,0,50,24.7,35.1,24.1,#####,#####,#####,10000001 0000,10000000 0001,MAN,702,7.5,78,37,1.56,0,#####,#####,#####,#####,#####,#####,#####,10111100,0,10100,10100100 00000000,,,,#####,#####,#####,0,,
-66,C04 - SGC 1615,Idle run,44551,1:36:03.8,0,368,0,105,0,0, ,0,0,0,0,0,0,0,0,0,0,50,240,239,240,414,416,416,0,0,0,0,50,22.3,35.1,21.6,#####,#####,#####,10000001 0000,11000000 0000,MAN,379,7.8,74,38,0,0,#####,#####,#####,#####,#####,#####,#####,10111100,0,10100,10100100 00000000,,,,#####,#####,#####,0,,
-67,C04 - SGC 1615,Wrn AmberLamp,44551,1:36:03.2,0,160,0,106,0,0, ,0,0,0,0,0,0,0,0,0,0,50,240,239,240,414,416,416,0,0,0,0,50,21.6,35.1,21,#####,#####,#####,10000001 0000,11000000 0000,MAN,198,1.2,74,38,0,0,#####,#####,#####,#####,#####,#####,#####,10111100,0,10100,10100100 00000000,,,,#####,#####,#####,0,,
